('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397784 function calls (383418 primitive calls) in 6.359 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
        1    0.000    0.000    0.029    0.029 dammit.py:2310(EntitySubstitution)
      302    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      108    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      119    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      163    0.000    0.000    0.000    0.000 enum.py:633(value)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       25    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
       25    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      206    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       73    0.000    0.000    0.000    0.000 element.py:389(_last_descendant)
      504    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
      124    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       34    0.000    0.000    0.024    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
       21    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
       49    0.000    0.000    0.001    0.000 typing.py:638(copy_with)
        1    0.000    0.000    0.010    0.010 datetime.py:5(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
    70/40    0.000    0.000    0.113    0.003 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       44    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    6.359    6.359 financial.py:3(<module>)
      212    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.079    0.079 __init__.py:117(__init__)
       24    0.000    0.000    0.001    0.000 typing.py:765(__getitem_inner__)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.004    0.004 financial.py:20(<listcomp>)
       34    0.000    0.000    0.004    0.000 element.py:1822(find)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
      137    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
       38    0.000    0.000    0.000    0.000 element.py:275(get_text)
      145    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       87    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
       36    0.000    0.000    0.017    0.000 element.py:1847(find_all)
       37    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       13    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
        1    0.000    0.000    0.035    0.035 css_parser.py:431(CSSParser)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       53    0.000    0.000    0.000    0.000 re.py:254(escape)
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      289    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       15    0.000    0.000    0.033    0.002 css_parser.py:308(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       92    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
       46    0.000    0.000    0.001    0.000 typing.py:749(__getitem__)
       37    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.165    0.165 __init__.py:2(<module>)
       36    0.000    0.000    0.000    0.000 element.py:2242(__init__)
        1    0.000    0.000    0.104    0.104 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
     47/1    0.000    0.000    0.175    0.175 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 element.py:151(PageElement)
        1    0.000    0.000    0.035    0.035 css_match.py:1(<module>)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      212    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       10    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.175    0.175 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:335(notify)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.149    0.149 element.py:2(<module>)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       14    0.000    0.000    0.014    0.001 css_parser.py:1156(process_selectors)
       63    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
        1    0.000    0.000    0.037    0.037 dammit.py:8(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      121    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       91    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       81    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
        1    0.000    0.000    0.000    0.000 threading.py:216(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        3    0.000    0.000    0.000    0.000 element.py:34(_alias)
       38    0.000    0.000    0.000    0.000 element.py:294(<listcomp>)
        1    0.000    0.000    0.000    0.000 css_parser.py:676(parse_pseudo_nth)
       75    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
       65    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       94    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       27    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
      8/5    0.000    0.000    0.115    0.023 {built-in method builtins.__import__}
        3    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
       14    0.000    0.000    0.000    0.000 typing.py:445(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
        9    0.000    0.000    0.000    0.000 typing.py:535(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        7    0.000    0.000    0.000    0.000 financial.py:25(<genexpr>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
        1    0.000    0.000    0.004    0.004 util.py:1(<module>)
       68    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        4    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
