('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397705 function calls (383352 primitive calls) in 1.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       87    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      108    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      124    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       25    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
       37    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
      504    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       21    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
       34    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       49    0.000    0.000    0.001    0.000 typing.py:638(copy_with)
        1    0.000    0.000    0.012    0.012 datetime.py:5(<module>)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       24    0.000    0.000    0.001    0.000 typing.py:765(__getitem_inner__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       46    0.000    0.000    0.001    0.000 typing.py:749(__getitem__)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 financial.py:20(<listcomp>)
      137    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
      289    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
    70/40    0.000    0.000    0.116    0.003 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       92    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
       36    0.000    0.000    0.017    0.000 element.py:1847(find_all)
       13    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       53    0.000    0.000    0.000    0.000 re.py:254(escape)
      190    0.000    0.000    0.000    0.000 dammit.py:2377(<genexpr>)
        1    0.000    0.000    0.037    0.037 css_parser.py:431(CSSParser)
      145    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
